When n = 1000,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6
quick_sort,0.000843048095703125,0.0008230209350585938,0.001110076904296875,0.0001919269561767578,0.0007839202880859375,0.0006411075592041016
heap_sort,0.002025127410888672,0.0019397735595703125,0.0020270347595214844,0.0017809867858886719,0.0019230842590332031,0.002151966094970703
merge_sort,0.0014829635620117188,0.0015168190002441406,0.0014078617095947266,0.0014309883117675781,0.0013442039489746094,0.0010218620300292969
radix_sort,0.0009539127349853516,0.00074005126953125,0.002164125442504883,0.00023698806762695312,0.001413106918334961,0.0006899833679199219
bucket_sort,0.0004730224609375,0.0004391670227050781,0.0004470348358154297,0.0004878044128417969,0.0005710124969482422,0.0003821849822998047
timsort,0.0017359256744384766,0.0016808509826660156,0.0017192363739013672,0.0015947818756103516,0.0017120838165283203,0.0007660388946533203
When n = 10000,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6
quick_sort,0.011207103729248047,0.006989002227783203,0.013659954071044922,0.002241849899291992,0.011221170425415039,0.008424997329711914
heap_sort,0.027444839477539062,0.02778482437133789,0.02875494956970215,0.026028156280517578,0.027601003646850586,0.028764009475708008
merge_sort,0.018589019775390625,0.017850160598754883,0.0185701847076416,0.017744779586791992,0.018231868743896484,0.01251983642578125
radix_sort,0.012063026428222656,0.007822751998901367,0.0349268913269043,0.005002021789550781,0.020006179809570312,0.009922266006469727
bucket_sort,0.005033969879150391,0.004742145538330078,0.00526118278503418,0.004674196243286133,0.0046918392181396484,0.003869295120239258
timsort,0.020572900772094727,0.020672082901000977,0.02043294906616211,0.01996588706970215,0.020401716232299805,0.012881040573120117
When n = 100000,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6
quick_sort,0.14300799369812012,0.04762601852416992,0.18458914756774902,0.030542850494384766,0.13953495025634766,0.10613822937011719
heap_sort,0.4035038948059082,0.36377787590026855,0.40964412689208984,0.3421921730041504,0.39564085006713867,0.37434911727905273
merge_sort,0.2246389389038086,0.21820998191833496,0.22485017776489258,0.21429920196533203,0.22431302070617676,0.14966702461242676
radix_sort,0.15296697616577148,0.07351112365722656,0.4757061004638672,0.04885363578796387,0.22319889068603516,0.12454795837402344
bucket_sort,0.0615849494934082,0.04862022399902344,0.0688467025756836,0.05068492889404297,0.05569815635681152,0.043447017669677734
timsort,0.2713499069213867,0.26062583923339844,0.2735249996185303,0.2558629512786865,0.2686140537261963,0.16828393936157227
When n = 1000000,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6
quick_sort,1.7236180305480957,0.48691368103027344,2.0335240364074707,0.2791910171508789,1.8461709022521973,1.1064820289611816
heap_sort,5.819989919662476,4.453937292098999,6.013891935348511,4.251568794250488,5.980342864990234,4.551686763763428
merge_sort,2.766637086868286,2.601252317428589,2.824995756149292,2.5866732597351074,2.8622729778289795,1.7141532897949219
radix_sort,2.1014320850372314,0.7487683296203613,7.913995027542114,0.5011796951293945,3.1807239055633545,1.7129039764404297
bucket_sort,1.2059400081634521,0.6484861373901367,1.208824872970581,0.675788164138794,1.1618518829345703,0.5920982360839844
timsort,3.6193859577178955,3.358748197555542,3.6485230922698975,3.200413227081299,3.6501169204711914,2.1549220085144043
